ASIN,title,price,listPrice,imageUrl,detailPageURL,rating,totalReviews,subtitle,isPrimeEligible
B07NW9JR3D,Craftsman M215 159cc 21-Inch 3-in-1 High-Wheeled FWD Self-Propelled Gas Powered Lawn Mower with Bagger,$292.79,$292.79,https://images-na.ssl-images-amazon.com/images/I/41XYwvAvKUL._SL160_.jpg,https://www.amazon.com/M215-159cc-21-Inch-High-Wheeled-Self-Propelled/dp/B07NW9JR3D,4.0,63,MTD,1
B07NW8SP6H,Craftsman M105 140cc 21-Inch 3-in-1 Gas Powered Push Lawn Mower with Bagger,$229.00,$229.00,https://images-na.ssl-images-amazon.com/images/I/41JutTAgERL._SL160_.jpg,https://www.amazon.com/Craftsman-M105-140cc-21-Inch-Powered/dp/B07NW8SP6H,4.0,69,MTD,1
B002ZVOLXE,GreenWorks 20-Inch 12 Amp Corded Electric Lawn Mower 25022,$188.19,$188.19,https://images-na.ssl-images-amazon.com/images/I/51acxmsF7AL._SL160_.jpg,https://www.amazon.com/GreenWorks-20-Inch-Corded-Electric-25022/dp/B002ZVOLXE,4.5,4268,GreenWorks,1
B00BBQVL5U,"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,$299.00,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090,"Sunrise Global Marketing, LLC",1
B00004RA3F,"American Lawn Mower Company 1204-14 14-Inch 4-Blade Push Reel Lawn Mower, Red",$73.11,$73.11,https://images-na.ssl-images-amazon.com/images/I/31f0r%2BTws%2BL._SL160_.jpg,https://www.amazon.com/American-Lawn-Mower-Company-1204-14/dp/B00004RA3F,4.5,1620,American Lawn Mower Company,1
B084JV26CY,"PowerSmart DB8621SR 21"" 3-in-1 170cc Gas Self Propelled Lawn Mower",$249.00,$249.00,https://images-na.ssl-images-amazon.com/images/I/41zQ9b5QAWL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB8621SR-170cc-Propelled-Mower/dp/B084JV26CY,,,Amerisun Inc,0
B07P714TVV,"PowerSmart DB2322S Lawn Mower, Black and red",$249.00,$249.00,https://images-na.ssl-images-amazon.com/images/I/419Jv7XvGvL._SL160_.jpg,https://www.amazon.com/PowerSmart-DB2322S-Lawn-Mower-Black/dp/B07P714TVV,4.0,46,Amerisun Inc,0
B01IWM74LU,Ryobi 16 in ONE 18 Volt Lithium ion Hybrid Cordless or Corded Lawn Mower,,,https://images-na.ssl-images-amazon.com/images/I/611GUx0BloL._SL160_.jpg,https://www.amazon.com/Ryobi-Lithium-Hybrid-Cordless-Corded/dp/B01IWM74LU,1.5,7,Christopher Robins (Prime Video),
B084JP1TXN,"PowerSmart DB8621CR 21"" 2-in-1 170cc Gas Push Lawn Mower",$189.00,$189.00,https://images-na.ssl-images-amazon.com/images/I/41CpKV48--L._SL160_.jpg,https://www.amazon.com/PowerSmart-DB8621CR-170cc-Push-Mower/dp/B084JP1TXN,,,Amerisun Inc,0
B084P4RQX3,"123 TEST 14-Inch Electric Lawn Mower, 10A Corded Lawn Mower, 6 Adjustable Mower Heights, 10.5Gal Lawn Collection Bag - KALM12A",$125.97,$168.99,https://images-na.ssl-images-amazon.com/images/I/41mH4vTdpyL._SL160_.jpg,https://www.amazon.com/123-TEST-Electric-Adjustable-Collection/dp/B084P4RQX3,,,123,0
B07NW8SP6H,Craftsman M105 140cc 21-Inch 3-in-1 Gas Powered Push Lawn Mower with Bagger,$229.00,$229.00,https://images-na.ssl-images-amazon.com/images/I/41JutTAgERL._SL160_.jpg,https://www.amazon.com/Craftsman-M105-140cc-21-Inch-Powered/dp/B07NW8SP6H,4.0,69,MTD,1
B002ZVOLXE,GreenWorks 20-Inch 12 Amp Corded Electric Lawn Mower 25022,$188.19,$188.19,https://images-na.ssl-images-amazon.com/images/I/51acxmsF7AL._SL160_.jpg,https://www.amazon.com/GreenWorks-20-Inch-Corded-Electric-25022/dp/B002ZVOLXE,4.5,4268,GreenWorks,1
B00BBQVL5U,"Greenworks 16-Inch 40V Cordless Lawn Mower, 4.0 AH Battery Included 25322",$282.45,$299.00,https://images-na.ssl-images-amazon.com/images/I/51u6tWdQRYL._SL160_.jpg,https://www.amazon.com/Greenworks-16-Inch-Cordless-Included-25322/dp/B00BBQVL5U,4.5,3090,"Sunrise Global Marketing, LLC",1
